t-SNE Coordinate 1,t-SNE Coordinate 2,sigma
-12.9877646785,12.3580431582,2371.453125
14.5793147272,-11.7890100482,2665.90625
20.6263548302,-1.6926072275,3276.0625
2.6795740305,-14.7819428848,2531.53125
-21.3663055723,36.2291505039,39.4318847656
-8.444490012,10.3523747597,1529.1875
21.0246974638,15.383050974,1957.328125
-17.0201958653,-6.639385878,2556.78125
-13.7792028443,16.991562707,1756.390625
-4.5389640653,14.0840936877,1840.3125
-20.5619858909,0.4640221131,2223.75
21.4709391987,-5.3375586953,2440.5625
-18.4643503806,13.736184225,1622.671875
-9.243654551,-25.2984366458,334.63671875
21.4419073568,7.2177698756,1996.140625
-1.311719769,9.6048663432,2506.8125
-6.9397125692,3.777544798,2826.359375
-15.0327933441,-1.0060102774,2445.4375
19.1168501194,8.9850723961,3415.0625
14.81013595,-0.88187849,2599.046875
22.051081981,-11.1000278097,2300.703125
5.3345943945,8.7832995421,3345.59375
-23.9593577756,36.2355899381,33.0303955078
14.15256639,12.4372839569,533.11328125
24.0947942971,-1.5511780968,2070.59375
6.7511910283,2.258656066,2982.28125
1.2282536039,16.5584595691,3011.71875
-35.1696851729,-22.8182896438,51.7719726563
17.4713352652,4.8724090899,2752.96875
-8.9591396117,7.944263801,1712.640625
20.6617391676,12.8237441773,2464.65625
11.499927966,-7.4689795027,1725.421875
0.8881499556,11.7357787161,2518.15625
16.0654198918,18.4831227608,1820.015625
18.5324675761,4.3401984536,2605.203125
-23.2810294994,35.3007715554,52.2121582031
14.4976808418,-6.9180751037,1954.453125
3.016279844,-10.356116454,2112.984375
29.6896002427,3.1061079192,1997.671875
-1.8846110023,-17.8729111172,1139.703125
4.533655137,2.2949064105,3910.1875
-13.483663198,-0.9511494176,2350.375
14.368903318,-13.2152120755,1988.84375
-12.542250781,-10.4206128269,1846.875
7.4058493759,-28.0912255093,23.5424194336
-16.5247844791,2.8212097078,1394.328125
-20.6229410375,1.8601466294,2701.21875
-1.2327363988,-15.2066324074,1942.3125
27.2104199008,9.1926154988,1133.375
-13.3555845784,-5.7024056537,2563.40625
-25.0900192625,6.3745124926,1114.4453125
-8.3004968825,18.7838515876,821.22265625
-15.2212165195,-8.7567531042,2539.3125
30.7855394955,5.2634643375,1674.5
9.5125327587,-13.5502258981,2447.375
5.2138319171,16.5557726951,2353.546875
15.1976287478,0.2841987052,2830.375
16.3348847272,0.1523767714,2943.09375
-16.7094544751,-1.6361856485,3054.125
